emb_x,emb_y,NoOfAttributes,NoOfClasses,DataSetSize,AttributeType,EntropyLabel,AvgEntrophyFeatures,AvgCorelationBetFeatures,2_6_8_TrainingAccuracy,2_6_8_TestAccuracy,1_5_0_TrainingAccuracy,1_5_0_TestAccuracy,2_6_20_TrainingAccuracy,2_6_20_TestAccuracy,Accuracy,Legal
0.16878778,0.7779948,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6499757,1
-0.99999976,-0.9999733,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,1.90E-34,0
0.5319729,0.28192073,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.7059305,1
-0.9999982,-0.9998589,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,4.78E-36,0
0.09296389,0.7564427,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.63537854,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,3.44E-34,0
-0.38191563,0.32331386,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.64009815,1
-0.99999976,-0.9999986,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,1.39E-34,0
0.6734102,0.9973334,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.60036504,1
-0.99999976,-0.99999946,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,4.51E-36,0
0.5443698,0.6828148,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6859515,1
0.7969109,0.5144502,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.00082262,0
0.7842969,0.9980797,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6576171,1
-0.94872814,-0.78167576,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,3.84E-29,0
0.4388812,0.06966272,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.7005243,1
0.9174697,0.8962973,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,7.53E-07,0
0.80934095,0.9981187,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6597184,1
-0.9999842,-0.9982113,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,8.41E-36,0
0.061739754,0.1403316,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.69095314,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,7.57E-36,0
0.661719,0.64002794,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6422295,1
-0.9921101,-0.9998727,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,1.39E-35,0
0.84312475,0.42104092,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6636832,1
0.6996637,0.8023679,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,4.00E-06,0
0.8306865,-0.023354826,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.7147001,1
0.9628851,-0.8122126,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,5.98E-30,0
0.4741695,0.75642127,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6812211,1
