,0,1,2,3
0,2,2,9,0.5359281437125748
1,2,21,23,0.5688622754491018
2,1,11,0,0.47904191616766467
3,2,14,6,0.8682634730538922
4,2,1,18,0.4341317365269461
5,2,15,15,1.0
6,2,20,7,0.7994011976047904
7,1,4,0,0.20658682634730538
8,2,6,17,0.7754491017964071
9,1,7,0,0.3592814371257485
10,2,5,22,0.5299401197604791
11,1,3,0,0.1437125748502994
12,2,12,16,0.9760479041916168
13,1,20,0,0.39820359281437123
14,1,11,0,0.47904191616766467
15,1,6,0,0.3143712574850299
16,2,4,13,0.7155688622754491
17,1,8,0,0.39820359281437123
18,1,20,0,0.39820359281437123
19,1,11,0,0.47904191616766467
20,1,22,0,0.3143712574850299
21,1,10,0,0.45808383233532934
22,1,11,0,0.47904191616766467
23,1,18,0,0.45808383233532934
24,2,12,5,0.811377245508982
25,1,18,0,0.45808383233532934
26,1,17,0,0.47904191616766467
27,2,14,22,0.7724550898203593
28,1,17,0,0.47904191616766467
29,1,3,0,0.1437125748502994
30,1,12,0,0.4940119760479042
31,1,6,0,0.3143712574850299
32,1,13,0,0.5029940119760479
33,2,10,22,0.7245508982035929
34,1,10,0,0.45808383233532934
35,1,10,0,0.45808383233532934
36,2,9,23,0.6407185628742516
37,1,19,0,0.4311377245508982
38,1,6,0,0.3143712574850299
39,1,22,0,0.3143712574850299
40,1,9,0,0.4311377245508982
41,2,6,8,0.7485029940119761
42,2,23,23,0.47305389221556887
43,2,16,6,0.8562874251497006
44,1,5,0,0.2634730538922156
45,1,13,0,0.5029940119760479
46,1,5,0,0.2634730538922156
47,1,2,0,0.0748502994011976
48,1,1,0,0.0
49,1,4,0,0.20658682634730538
