,0,1,2,3
0,1,22,0,0.459546925566343
1,1,6,0,0.7702265372168284
2,2,12,2,0.9288025889967637
3,1,11,0,0.8511326860841424
4,2,5,2,0.8155339805825242
5,1,21,0,0.5275080906148867
6,1,14,0,0.8220064724919094
7,2,20,3,0.6990291262135923
8,1,6,0,0.7702265372168284
9,2,16,14,0.7734627831715211
10,2,4,1,0.7378640776699029
11,2,8,19,0.517799352750809
12,1,6,0,0.7702265372168284
13,2,23,12,0.46601941747572817
14,2,1,16,0.42718446601941745
15,1,11,0,0.8511326860841424
16,1,11,0,0.8511326860841424
17,2,23,20,0.0
18,1,22,0,0.459546925566343
19,1,5,0,0.7346278317152104
20,1,22,0,0.459546925566343
21,1,16,0,0.7702265372168284
22,2,8,9,0.970873786407767
23,2,4,14,0.6957928802588996
24,2,22,2,0.540453074433657
25,2,11,5,1.0
26,2,9,3,0.948220064724919
27,2,8,15,0.7766990291262136
28,1,15,0,0.7993527508090615
29,1,20,0,0.5889967637540453
30,1,22,0,0.459546925566343
31,1,4,0,0.6925566343042071
32,2,21,12,0.6084142394822006
33,1,4,0,0.6925566343042071
34,1,1,0,0.5275080906148867
35,1,2,0,0.5889967637540453
36,1,12,0,0.8478964401294499
37,1,13,0,0.8381877022653722
38,2,4,21,0.22006472491909385
39,1,17,0,0.7346278317152104
40,2,7,19,0.49514563106796117
41,1,23,0,0.3851132686084142
42,1,12,0,0.8478964401294499
43,1,10,0,0.8478964401294499
44,2,22,13,0.5048543689320388
45,2,17,15,0.6893203883495146
46,2,7,5,0.948220064724919
47,1,10,0,0.8478964401294499
48,1,3,0,0.6440129449838188
49,2,1,18,0.2977346278317152
