[-0.7454428,-0.4077613]
[-0.678414  ,-0.32599825]
[-0.766948 ,-0.1731037]
[-0.7600639 ,-0.42479667]
[-0.81521714,-0.38259798]
[-0.74578255,-0.37050685]
[-0.8339185 ,-0.31595728]
[-0.9349541,-0.456823 ]
[-0.6116009 ,-0.34958845]
[-0.6952781 ,-0.17239356]
[-0.7549013 ,-0.44467458]
[-0.6713419 ,-0.48514163]
[-0.56724423,-0.23788017]
[-1.        ,-0.46097496]
[-0.63276213,-0.61448085]
[-0.7080623,-0.3500592]
[-0.8360298 ,-0.44521675]
[-0.58936054,-0.45618546]
[-0.72676075,-0.5345808 ]
[-0.72747624,-0.42837897]
[-0.71467185,-0.4554762 ]
[-0.8978356,-0.3554955]
[-0.63047135,-0.29571825]
[-0.7697396 ,-0.32809255]
[-0.8103714 ,-0.28275084]
[-0.81210333,-0.58869326]
[-0.77710724,-0.6144613 ]
[-0.5694503,-0.3302458]
[-0.78743005,-0.45777774]
[-0.77558506,-0.3382316 ]
[-0.74131507,-0.48136276]
[-0.8426315 ,-0.18984866]
[-0.82995373,-0.36971268]
[-0.6875397,-0.5033576]
[-0.9953639,-0.4383419]
[-0.93168783,-0.5009464 ]
[-0.74728614,-0.5071281 ]
[-0.8515286,-0.6603866]
[-0.80862087,-0.4705289 ]
[-0.60390836,-0.20620401]
[-0.845266  ,-0.37681755]
[-0.74872845,-0.5902599 ]
[-0.6808874 ,-0.32956624]
[-0.7825077 ,-0.30840373]
[-0.7800889 ,-0.49705464]
[-0.73583007,-0.29813966]
[-0.6843148 ,-0.40134004]
[-0.73551536,-0.46041813]
[-0.67282015,-0.48986083]
[-0.65466654,-0.3801405 ]
[-0.6185669,-0.5650308]
[-0.85214573,-0.43470845]
[-0.6171947 ,-0.30969852]
[-0.61799943,-0.30632043]
[-0.80022776,-0.3938937 ]
[-0.7097425 ,-0.42236397]
[-0.9763565,-0.4127514]
[-0.6070877 ,-0.48634169]
[-0.7313617 ,-0.20541896]
[-0.83456975,-0.5439349 ]
[-0.926073  ,-0.41189268]
[-0.774072  ,-0.55265343]
[-0.74552935,-0.4681788 ]
