num_layers,num_node1,num_node2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,test_acc
2.1,4,22.8,0,1,0,0,0,0,0,0,0,0,0.225201072
0.3,0.4,1.6,0,1,0,0,0,0,0,0,0,0,0
2.3,9,4.6,0,1,0,0,0,0,0,0,0,0,0.951742627
1.1,7.2,17,0,1,0,0,0,0,0,0,0,0,0
1.7,15.9,15.2,0,1,0,0,0,0,0,0,0,0,0.825737265
0.9,23.9,11.2,0,1,0,0,0,0,0,0,0,0,0
1.9,16.3,22.4,0,1,0,0,0,0,0,0,0,0,0.431635389
0.8,11.7,12.5,0,1,0,0,0,0,0,0,0,0,0
2.1,2.8,22.8,0,1,0,0,0,0,0,0,0,0,0.179624665
0.2,13.4,3.3,0,1,0,0,0,0,0,0,0,0,0
1.9,19.2,19.6,0,1,0,0,0,0,0,0,0,0,0.482573727
2.8,16.1,21.3,0,1,0,0,0,0,0,0,0,0,0
2.2,10.8,19,0,1,0,0,0,0,0,0,0,0,0.672922252
1.8,3.2,23.7,0,1,0,0,0,0,0,0,0,0,0
2,2.4,19.4,0,1,0,0,0,0,0,0,0,0,0.407506702
0.7,14.2,1.2,0,1,0,0,0,0,0,0,0,0,0
2,8.2,2,0,1,0,0,0,0,0,0,0,0,0.860589812
0.9,5.9,7.8,0,1,0,0,0,0,0,0,0,0,0
2.1,13.1,7.6,0,1,0,0,0,0,0,0,0,0,0.997319035
0.8,13,16.1,0,1,0,0,0,0,0,0,0,0,0
1.6,22.8,9.1,0,1,0,0,0,0,0,0,0,0,0.672922252
1.4,19.6,16,0,1,0,0,0,0,0,0,0,0,0
1.8,15.7,3.1,0,1,0,0,0,0,0,0,0,0,0.890080429
2.1,10.3,1.5,0,1,0,0,0,0,0,0,0,0,0
0.9,20.1,0,0,1,0,0,0,0,0,0,0,0,0.654155496
1.5,23.3,8.5,0,1,0,0,0,0,0,0,0,0,0
2.3,7.2,3,0,1,0,0,0,0,0,0,0,0,0.865951743
2.5,3.3,1.9,0,1,0,0,0,0,0,0,0,0,0
2.1,23.1,8.8,0,1,0,0,0,0,0,0,0,0,0.672922252
2.6,4.4,6.3,0,1,0,0,0,0,0,0,0,0,0
1.7,11.8,21.7,0,1,0,0,0,0,0,0,0,0,0.474530831
1.3,20.6,16.2,0,1,0,0,0,0,0,0,0,0,0
1.6,6,23,0,1,0,0,0,0,0,0,0,0,0.300268097
0.1,8.5,10,0,1,0,0,0,0,0,0,0,0,0
2,17.4,10.3,0,1,0,0,0,0,0,0,0,0,0.922252011
0.8,5.7,13.1,0,1,0,0,0,0,0,0,0,0,0
2,20.3,11.2,0,1,0,0,0,0,0,0,0,0,0.804289544
0.5,6.2,12.5,0,1,0,0,0,0,0,0,0,0,0
2.1,2.4,3.3,0,1,0,0,0,0,0,0,0,0,0.664879357
0.4,23.6,5,0,1,0,0,0,0,0,0,0,0,0
1.6,2.9,7.9,0,1,0,0,0,0,0,0,0,0,0.782841823
1.4,13.7,23.5,0,1,0,0,0,0,0,0,0,0,0
1.8,16.1,14.1,0,1,0,0,0,0,0,0,0,0,0.860589812
2.6,7.7,2.3,0,1,0,0,0,0,0,0,0,0,0
2.3,21.3,4.9,0,1,0,0,0,0,0,0,0,0,0.758713137
1.4,5.5,9.6,0,1,0,0,0,0,0,0,0,0,0
2.3,20.9,12,0,1,0,0,0,0,0,0,0,0,0.739946381
1.2,12.4,15.1,0,1,0,0,0,0,0,0,0,0,0
2.2,10.8,11.8,0,1,0,0,0,0,0,0,0,0,0.954423592
0.5,17.6,18.3,0,1,0,0,0,0,0,0,0,0,0
1.7,3.3,11.4,0,1,0,0,0,0,0,0,0,0,0.758713137
1.7,6.5,14,0,1,0,0,0,0,0,0,0,0,0
1.7,20,9.8,0,1,0,0,0,0,0,0,0,0,0.81769437
1.1,5.3,7,0,1,0,0,0,0,0,0,0,0,0
1.9,1.2,19.1,0,1,0,0,0,0,0,0,0,0,0.351206434
2.7,18.4,12.2,0,1,0,0,0,0,0,0,0,0,0
2.2,10.7,7.9,0,1,0,0,0,0,0,0,0,0,0.997319035
1.8,0.2,0.9,0,1,0,0,0,0,0,0,0,0,0
2.2,16.9,2.4,0,1,0,0,0,0,0,0,0,0,0.836461126
1.5,20.1,6.8,0,1,0,0,0,0,0,0,0,0,0
2,5.8,4.8,0,1,0,0,0,0,0,0,0,0,0.879356568
0.7,1.6,14.3,0,1,0,0,0,0,0,0,0,0,0
2.1,14.9,14.7,0,1,0,0,0,0,0,0,0,0,0.844504021
1.2,18.2,18.2,0,1,0,0,0,0,0,0,0,0,0
1.8,5,1.6,0,1,0,0,0,0,0,0,0,0,0.772117962
0.9,23.6,21.1,0,1,0,0,0,0,0,0,0,0,0
2.2,4.1,3.1,0,1,0,0,0,0,0,0,0,0,0.761394102
0,10.6,6.8,0,1,0,0,0,0,0,0,0,0,0
1.8,3.3,6.8,0,1,0,0,0,0,0,0,0,0,0.780160858
1,22,22.9,0,1,0,0,0,0,0,0,0,0,0
1.8,21.7,16.8,0,1,0,0,0,0,0,0,0,0,0.514745308
1,10.6,21.3,0,1,0,0,0,0,0,0,0,0,0
1.6,16,1.7,0,1,0,0,0,0,0,0,0,0,0.860589812
2.6,16.6,13.1,0,1,0,0,0,0,0,0,0,0,0
2.3,11.1,5.7,0,1,0,0,0,0,0,0,0,0,0.986595174
0.9,20.3,12,0,1,0,0,0,0,0,0,0,0,0
1.7,9.6,14.9,0,1,0,0,0,0,0,0,0,0,0.857908847
0.6,16.6,7.5,0,1,0,0,0,0,0,0,0,0,0
1.8,21.6,22.2,0,1,0,0,0,0,0,0,0,0,0.206434316
0.1,9.2,23.8,0,1,0,0,0,0,0,0,0,0,0
2,14.4,0.9,0,1,0,0,0,0,0,0,0,0,0.857908847
3,9.8,0.2,0,1,0,0,0,0,0,0,0,0,0
1.8,2.6,11.8,0,1,0,0,0,0,0,0,0,0,0.739946381
3,21.6,3.7,0,1,0,0,0,0,0,0,0,0,0
2.3,10.8,6,0,1,0,0,0,0,0,0,0,0,0.986595174
2.5,6.5,7.7,0,1,0,0,0,0,0,0,0,0,0
2.2,15.2,14.9,0,1,0,0,0,0,0,0,0,0,0.844504021
2.9,15.6,2.8,0,1,0,0,0,0,0,0,0,0,0
1.7,2.2,1,0,1,0,0,0,0,0,0,0,0,0.600536193
0.3,12.2,20.8,0,1,0,0,0,0,0,0,0,0,0
2.2,7.1,9.4,0,1,0,0,0,0,0,0,0,0,0.930294906
2.6,16.3,15.7,0,1,0,0,0,0,0,0,0,0,0
1.6,17.7,16.3,0,1,0,0,0,0,0,0,0,0,0.731903485
2.4,1.2,13.6,0,1,0,0,0,0,0,0,0,0,0
1.6,4.6,19,0,1,0,0,0,0,0,0,0,0,0.544235925
0.4,6.1,6.6,0,1,0,0,0,0,0,0,0,0,0
1.8,4.6,19,0,1,0,0,0,0,0,0,0,0,0.544235925
0.6,21.3,16.6,0,1,0,0,0,0,0,0,0,0,0
2.1,21.7,16.8,0,1,0,0,0,0,0,0,0,0,0.514745308
0.3,20.9,15.6,0,1,0,0,0,0,0,0,0,0,0
2.1,14.7,13.9,0,1,0,0,0,0,0,0,0,0,0.879356568
0.5,21.6,3.5,0,1,0,0,0,0,0,0,0,0,0
2,11.1,1.2,0,1,0,0,0,0,0,0,0,0,0.865951743
2.7,14.3,4,0,1,0,0,0,0,0,0,0,0,0
1.8,14.9,7.3,0,1,0,0,0,0,0,0,0,0,0.973190349
0.6,2.4,15.9,0,1,0,0,0,0,0,0,0,0,0
2.2,17.8,2.8,0,1,0,0,0,0,0,0,0,0,0.836461126
0.9,22.9,21.1,0,1,0,0,0,0,0,0,0,0,0
1.9,22.7,21.3,0,1,0,0,0,0,0,0,0,0,0.222520107
0.8,5.5,22.7,0,1,0,0,0,0,0,0,0,0,0
1.9,6.4,17.6,0,1,0,0,0,0,0,0,0,0,0.63538874
0.9,11.4,15.1,0,1,0,0,0,0,0,0,0,0,0
1.6,23.2,20.4,0,1,0,0,0,0,0,0,0,0,0.289544236
1.1,2.8,17.9,0,1,0,0,0,0,0,0,0,0,0
1.6,23.1,5.8,0,1,0,0,0,0,0,0,0,0,0.664879357
0.7,20.9,13.1,0,1,0,0,0,0,0,0,0,0,0
2,10.4,23.3,0,1,0,0,0,0,0,0,0,0,0.386058981
1.5,2.1,1.7,0,1,0,0,0,0,0,0,0,0,0
2.1,18.8,5.3,0,1,0,0,0,0,0,0,0,0,0.844504021
3,4.8,0.7,0,1,0,0,0,0,0,0,0,0,0
1.6,19.1,14.8,0,1,0,0,0,0,0,0,0,0,0.737265416
1.6,16.3,23.7,0,1,0,0,0,0,0,0,0,0,0
2.1,18.9,6.3,0,1,0,0,0,0,0,0,0,0,0.857908847
2.1,5.2,20.5,0,1,0,0,0,0,0,0,0,0,0
2.1,14,22.2,0,1,0,0,0,0,0,0,0,0,0.463806971
1,3.3,11,0,1,0,0,0,0,0,0,0,0,0
1.8,1,11.4,0,1,0,0,0,0,0,0,0,0,0.651474531
1,8.2,1.5,0,1,0,0,0,0,0,0,0,0,0
1.6,3.4,16.3,0,1,0,0,0,0,0,0,0,0,0.611260054
0.5,9.6,9.8,0,1,0,0,0,0,0,0,0,0,0
2.1,23.1,8.9,0,1,0,0,0,0,0,0,0,0,0.672922252
1.4,14.2,11.5,0,1,0,0,0,0,0,0,0,0,0
2.1,8.2,14.6,0,1,0,0,0,0,0,0,0,0,0.825737265
0.9,4.3,11.2,0,1,0,0,0,0,0,0,0,0,0
2,14.1,9.3,0,1,0,0,0,0,0,0,0,0,0.986595174
0.3,5.8,16,0,1,0,0,0,0,0,0,0,0,0
2.2,10.7,12,0,1,0,0,0,0,0,0,0,0,0.954423592
0.9,16.7,22.8,0,1,0,0,0,0,0,0,0,0,0
2,3.6,13.3,0,1,0,0,0,0,0,0,0,0,0.761394102
1.5,11.1,1,0,1,0,0,0,0,0,0,0,0,0
0.8,7,0,0,1,0,0,0,0,0,0,0,0,0.758713137
2.2,22.7,23.6,0,1,0,0,0,0,0,0,0,0,0
1.9,17.3,17.2,0,1,0,0,0,0,0,0,0,0,0.715817694
1.3,14.2,12.6,0,1,0,0,0,0,0,0,0,0,0
1.9,8.3,13.1,0,1,0,0,0,0,0,0,0,0,0.890080429
0.2,22.5,14.3,0,1,0,0,0,0,0,0,0,0,0
2.1,7.2,9.1,0,1,0,0,0,0,0,0,0,0,0.930294906
0.2,2.3,12.9,0,1,0,0,0,0,0,0,0,0,0
1.9,18.8,6.9,0,1,0,0,0,0,0,0,0,0,0.865951743
0.9,1.6,5.7,0,1,0,0,0,0,0,0,0,0,0
1.9,7.6,22.1,0,1,0,0,0,0,0,0,0,0,0.431635389
1.2,1.2,13.4,0,1,0,0,0,0,0,0,0,0,0
2.1,23.2,16.1,0,1,0,0,0,0,0,0,0,0,0.504021448
0.6,18.6,16,0,1,0,0,0,0,0,0,0,0,0
2.2,3.4,17.4,0,1,0,0,0,0,0,0,0,0,0.565683646
2.5,8.2,7.6,0,1,0,0,0,0,0,0,0,0,0
2,17.1,21.9,0,1,0,0,0,0,0,0,0,0,0.407506702
1,0.4,21.5,0,1,0,0,0,0,0,0,0,0,0
1.6,18.3,1.9,0,1,0,0,0,0,0,0,0,0,0.806970509
2.6,22.7,21.5,0,1,0,0,0,0,0,0,0,0,0
1.8,2.1,13.4,0,1,0,0,0,0,0,0,0,0,0.664879357
1.5,3,23.3,0,1,0,0,0,0,0,0,0,0,0
1.6,2.8,3.3,0,1,0,0,0,0,0,0,0,0,0.715817694
2.6,22.7,8.6,0,1,0,0,0,0,0,0,0,0,0
2,18.3,23.2,0,1,0,0,0,0,0,0,0,0,0.300268097
0.8,14,20.6,0,1,0,0,0,0,0,0,0,0,0
1.8,10.1,3.8,0,1,0,0,0,0,0,0,0,0,0.946380697
0.3,12.9,3.6,0,1,0,0,0,0,0,0,0,0,0
2,2.4,14,0,1,0,0,0,0,0,0,0,0,0.63538874
3,10,3.9,0,1,0,0,0,0,0,0,0,0,0
1.7,5.7,5.1,0,1,0,0,0,0,0,0,0,0,0.879356568
0,13.5,4.9,0,1,0,0,0,0,0,0,0,0,0
1.7,7.7,11.3,0,1,0,0,0,0,0,0,0,0,0.932975871
1.2,2.6,9.1,0,1,0,0,0,0,0,0,0,0,0
1.7,14.4,18.9,0,1,0,0,0,0,0,0,0,0,0.664879357
0,18.2,21.3,0,1,0,0,0,0,0,0,0,0,0
1.7,10.1,20.3,0,1,0,0,0,0,0,0,0,0,0.603217158
0.4,7.9,14.1,0,1,0,0,0,0,0,0,0,0,0
1.9,11.6,6.3,0,1,0,0,0,0,0,0,0,0,0.989276139
2.5,1.8,18,0,1,0,0,0,0,0,0,0,0,0
1.8,3.1,13.4,0,1,0,0,0,0,0,0,0,0,0.715817694
2.7,14.6,19.3,0,1,0,0,0,0,0,0,0,0,0
1.7,17.1,5.4,0,1,0,0,0,0,0,0,0,0,0.908847185
0.6,5,22.6,0,1,0,0,0,0,0,0,0,0,0
2,6.7,18.9,0,1,0,0,0,0,0,0,0,0,0.608579088
1.9,2.5,15.9,0,1,0,0,0,0,0,0,0,0,0
1.8,11.7,7.1,0,1,0,0,0,0,0,0,0,0,0.997319035
1.4,15.6,0.2,0,1,0,0,0,0,0,0,0,0,0
1.6,13,8.7,0,1,0,0,0,0,0,0,0,0,0.99463807
2.8,17.8,19.4,0,1,0,0,0,0,0,0,0,0,0
2.2,14.1,5,0,1,0,0,0,0,0,0,0,0,0.965147453
0.7,14.1,20.8,0,1,0,0,0,0,0,0,0,0,0
2.3,2.7,5.2,0,1,0,0,0,0,0,0,0,0,0.758713137
1.8,19.4,0.2,0,1,0,0,0,0,0,0,0,0,0
2.1,20.3,21.3,0,1,0,0,0,0,0,0,0,0,0.375335121
0.7,17.1,7.1,0,1,0,0,0,0,0,0,0,0,0
1.8,17.1,12.3,0,1,0,0,0,0,0,0,0,0,0.890080429
1.1,2.9,3.2,0,1,0,0,0,0,0,0,0,0,0
2.3,3.8,2.2,0,1,0,0,0,0,0,0,0,0,0.731903485
0,0.4,2.4,0,1,0,0,0,0,0,0,0,0,0
1.6,19.8,9.7,0,1,0,0,0,0,0,0,0,0,0.81769437
2.4,18,2.4,0,1,0,0,0,0,0,0,0,0,0
1.7,22.9,15,0,1,0,0,0,0,0,0,0,0,0.544235925
2.4,4,5.1,0,1,0,0,0,0,0,0,0,0,0
1.6,10.8,15.6,0,1,0,0,0,0,0,0,0,0,0.825737265
0,8,18.8,0,1,0,0,0,0,0,0,0,0,0
2.3,7.9,16.2,0,1,0,0,0,0,0,0,0,0,0.785522788
2.6,14.3,10.4,0,1,0,0,0,0,0,0,0,0,0
2.3,3.4,20.9,0,1,0,0,0,0,0,0,0,0,0.329758713
1.1,10,15.4,0,1,0,0,0,0,0,0,0,0,0
2,22.1,13.3,0,1,0,0,0,0,0,0,0,0,0.664879357
1.6,13.8,17.5,0,1,0,0,0,0,0,0,0,0,0
2,10.7,10.8,0,1,0,0,0,0,0,0,0,0,0.973190349
2.8,1,13.6,0,1,0,0,0,0,0,0,0,0,0
1.6,13.3,9.9,0,1,0,0,0,0,0,0,0,0,0.986595174
0.9,23.3,10.8,0,1,0,0,0,0,0,0,0,0,0
1.7,20.4,10.8,0,1,0,0,0,0,0,0,0,0,0.804289544
2.7,8.3,7.3,0,1,0,0,0,0,0,0,0,0,0
2.1,16.8,6.6,0,1,0,0,0,0,0,0,0,0,0.930294906
0.1,10.8,6.9,0,1,0,0,0,0,0,0,0,0,0
1.7,18.6,4,0,1,0,0,0,0,0,0,0,0,0.825737265
1.9,6,10.5,0,1,0,0,0,0,0,0,0,0,0
1.8,17.7,22,0,1,0,0,0,0,0,0,0,0,0.378016086
0.8,2.9,11.9,0,1,0,0,0,0,0,0,0,0,0
2,20.8,7.7,0,1,0,0,0,0,0,0,0,0,0.782841823
0.1,22.6,21.7,0,1,0,0,0,0,0,0,0,0,0
1.9,0.6,22.1,0,1,0,0,0,0,0,0,0,0,0.150134048
0.7,9.8,23.4,0,1,0,0,0,0,0,0,0,0,0
1.9,2.8,1.8,0,1,0,0,0,0,0,0,0,0,0.686327078
2,12.8,19.5,0,1,0,0,0,0,0,0,0,0,0
2.2,10.3,16.9,0,1,0,0,0,0,0,0,0,0,0.772117962
1,22.9,10.2,0,1,0,0,0,0,0,0,0,0,0
1.8,2.9,5.2,0,1,0,0,0,0,0,0,0,0,0.758713137
0.6,17.3,23.3,0,1,0,0,0,0,0,0,0,0,0
2,21.3,7.8,0,1,0,0,0,0,0,0,0,0,0.782841823
2.6,17.4,2,0,1,0,0,0,0,0,0,0,0,0
2,4.1,2.9,0,1,0,0,0,0,0,0,0,0,0.761394102
2.4,14,1.4,0,1,0,0,0,0,0,0,0,0,0
1.6,3.3,2.4,0,1,0,0,0,0,0,0,0,0,0.686327078
2.8,13.9,17.3,0,1,0,0,0,0,0,0,0,0,0
2.3,19.7,14.6,0,1,0,0,0,0,0,0,0,0,0.697050938
1.5,11.3,5.2,0,1,0,0,0,0,0,0,0,0,0
1.6,14.8,14.1,0,1,0,0,0,0,0,0,0,0,0.879356568
2.4,11.3,22.1,0,1,0,0,0,0,0,0,0,0,0
1.6,8.3,20,0,1,0,0,0,0,0,0,0,0,0.571045576
