,0,1,2,3
0,2,23,1,0.5580110497237569
1,1,23,0,0.5027624309392266
2,2,9,2,0.4567219152854512
3,1,16,0,0.5156537753222836
4,2,18,20,0.9705340699815838
5,1,13,0,0.46593001841620624
6,2,7,21,0.6906077348066298
7,2,7,10,0.6703499079189686
8,2,2,15,0.4677716390423573
9,1,9,0,0.34806629834254144
10,1,16,0,0.5156537753222836
11,1,6,0,0.22099447513812154
12,2,2,23,0.37937384898710863
13,1,10,0,0.3830570902394107
14,2,8,17,0.7771639042357275
15,1,19,0,0.5322283609576427
16,2,18,5,0.7771639042357275
17,2,12,11,0.8655616942909761
18,2,21,11,0.9484346224677717
19,2,18,5,0.7771639042357275
20,2,10,1,0.43830570902394106
21,1,19,0,0.5322283609576427
22,1,19,0,0.5322283609576427
23,2,19,15,1.0
24,1,17,0,0.5248618784530387
25,1,3,0,0.06077348066298342
26,2,17,6,0.8103130755064457
27,2,10,11,0.8066298342541437
28,2,18,7,0.850828729281768
29,2,21,11,0.9484346224677717
30,2,21,9,0.9042357274401474
31,2,6,6,0.5064456721915286
32,2,2,20,0.44014732965009207
33,2,23,12,0.9429097605893186
34,2,23,7,0.8232044198895028
35,2,12,5,0.6887661141804788
36,2,6,14,0.6832412523020258
37,1,7,0,0.26703499079189685
38,1,18,0,0.5303867403314917
39,1,2,0,0.0
40,2,18,4,0.7348066298342542
41,1,2,0,0.0
42,1,9,0,0.34806629834254144
43,1,10,0,0.3830570902394107
44,2,4,20,0.5580110497237569
45,1,4,0,0.11786372007366483
46,1,20,0,0.5303867403314917
47,2,21,17,0.992633517495396
48,1,19,0,0.5322283609576427
49,1,20,0,0.5303867403314917
