num_layers,num_node1,num_node2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,test_acc
1,12,0,1,0,0,0,0,0,0,0,0,0,0.93306288
2,22,14,1,0,0,0,0,0,0,0,0,0,0.39959432
2,16,15,1,0,0,0,0,0,0,0,0,0,0.62474645
1,4,0,1,0,0,0,0,0,0,0,0,0,0.93306288
1,17,0,1,0,0,0,0,0,0,0,0,0,0.801217039
2,8,4,1,0,0,0,0,0,0,0,0,0,1
2,9,6,1,0,0,0,0,0,0,0,0,0,0.989858012
2,7,15,1,0,0,0,0,0,0,0,0,0,0.752535497
1,5,0,1,0,0,0,0,0,0,0,0,0,0.947261663
2,9,2,1,0,0,0,0,0,0,0,0,0,0.989858012
1,10,0,1,0,0,0,0,0,0,0,0,0,0.957403651
2,23,12,1,0,0,0,0,0,0,0,0,0,0.413793103
1,20,0,1,0,0,0,0,0,0,0,0,0,0.673427992
1,18,0,1,0,0,0,0,0,0,0,0,0,0.762677485
2,19,4,1,0,0,0,0,0,0,0,0,0,0.754563895
2,23,19,1,0,0,0,0,0,0,0,0,0,0.087221095
2,2,9,1,0,0,0,0,0,0,0,0,0,0.876267748
1,8,0,1,0,0,0,0,0,0,0,0,0,0.965517241
2,17,5,1,0,0,0,0,0,0,0,0,0,0.8336714
2,10,7,1,0,0,0,0,0,0,0,0,0,0.973630832
2,21,22,1,0,0,0,0,0,0,0,0,0,0
2,8,4,1,0,0,0,0,0,0,0,0,0,1
1,11,0,1,0,0,0,0,0,0,0,0,0,0.947261663
1,8,0,1,0,0,0,0,0,0,0,0,0,0.965517241
1,3,0,1,0,0,0,0,0,0,0,0,0,0.914807302
2,3,1,1,0,0,0,0,0,0,0,0,0,0.931034483
2,5,16,1,0,0,0,0,0,0,0,0,0,0.689655172
2,9,18,1,0,0,0,0,0,0,0,0,0,0.60040568
2,7,7,1,0,0,0,0,0,0,0,0,0,0.979716024
2,17,10,1,0,0,0,0,0,0,0,0,0,0.762677485
2,21,17,1,0,0,0,0,0,0,0,0,0,0.314401623
1,17,0,1,0,0,0,0,0,0,0,0,0,0.801217039
1,7,0,1,0,0,0,0,0,0,0,0,0,0.963488844
2,13,1,1,0,0,0,0,0,0,0,0,0,0.931034483
1,6,0,1,0,0,0,0,0,0,0,0,0,0.957403651
